trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.15, 'e': 0.7849999999999998}",20,0,-24.88555142677454,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.15, 'e': 0.7799999999999998}",30,0,-196.6454473474832,"{0: 21, 1: 1, 2: 2, 3: 2, 4: 4}",0
45,False,"{'a': 0.15, 'e': 0.7749999999999998}",25,0,-85.32479835849506,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
46,False,"{'a': 0.15, 'e': 0.7699999999999998}",30,17,-56.528421051068655,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.15, 'e': 0.7649999999999998}",30,0,-94.08293829861123,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.15, 'e': 0.7599999999999998}",20,0,-27.9066769192507,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.15, 'e': 0.7549999999999998}",20,0,-65.14706399610199,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.15, 'e': 0.7499999999999998}",30,0,-119.84932277570522,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.15, 'e': 0.7449999999999998}",20,0,-10.616162627992287,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.15, 'e': 0.7399999999999998}",25,0,-122.0911585582027,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
53,False,"{'a': 0.15, 'e': 0.7349999999999998}",20,15,-3.786434509553292,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.15, 'e': 0.7299999999999998}",25,1,-50.17681086832309,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 1}",1
55,False,"{'a': 0.15, 'e': 0.7249999999999998}",20,12,10.253025682501926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.15, 'e': 0.7199999999999998}",20,2,-85.55194827623599,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
57,False,"{'a': 0.15, 'e': 0.7149999999999997}",25,4,-82.70370095606694,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.15, 'e': 0.7099999999999997}",30,0,-150.53225445032743,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
59,False,"{'a': 0.15, 'e': 0.7049999999999997}",20,11,-51.81464045410095,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.15, 'e': 0.6999999999999997}",30,0,-46.77801506571531,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.15, 'e': 0.6949999999999997}",25,0,-35.55271412403764,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.15, 'e': 0.6899999999999997}",20,0,-162.57640611892234,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
63,False,"{'a': 0.15, 'e': 0.6849999999999997}",25,0,-117.50026550269084,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
64,False,"{'a': 0.15, 'e': 0.6799999999999997}",20,14,-44.911691294074885,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.15, 'e': 0.6749999999999997}",20,0,-55.17702424510238,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
66,False,"{'a': 0.15, 'e': 0.6699999999999997}",25,0,-82.84197772323651,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
67,False,"{'a': 0.15, 'e': 0.6649999999999997}",25,12,-18.21522036166728,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.15, 'e': 0.6599999999999997}",20,0,-107.52888764970658,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
69,False,"{'a': 0.15, 'e': 0.6549999999999997}",25,0,-61.79657410567124,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.15, 'e': 0.6499999999999997}",30,0,-63.91752761399585,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.15, 'e': 0.6449999999999997}",30,20,-3.414947923309069,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.15, 'e': 0.6399999999999997}",30,0,-136.5011457653745,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
73,False,"{'a': 0.15, 'e': 0.6349999999999997}",20,7,2.7348664117538215,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.15, 'e': 0.6299999999999997}",25,10,-44.531640013200864,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
75,False,"{'a': 0.15, 'e': 0.6249999999999997}",20,11,-12.848035107600179,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.15, 'e': 0.6199999999999997}",30,17,-29.162350898504947,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
77,False,"{'a': 0.15, 'e': 0.6149999999999997}",20,0,-82.01177221511557,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
78,False,"{'a': 0.15, 'e': 0.6099999999999997}",30,16,11.209811423751574,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.15, 'e': 0.6049999999999996}",20,0,-125.76359972143045,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",1
80,False,"{'a': 0.15, 'e': 0.5999999999999996}",25,0,-62.70674229933648,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.15, 'e': 0.5949999999999996}",25,15,-4.802147076993932,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.15, 'e': 0.5899999999999996}",20,0,-10.870344389458342,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.15, 'e': 0.5849999999999996}",30,0,-6.2707855183492835,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.15, 'e': 0.5799999999999996}",20,0,6.62301160875794,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.15, 'e': 0.5749999999999996}",30,18,-15.896422785450008,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.15, 'e': 0.5699999999999996}",35,17,-32.04520025941905,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.15, 'e': 0.5649999999999996}",20,0,-112.56174295311614,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
88,False,"{'a': 0.15, 'e': 0.5599999999999996}",30,17,1.5484473159059826,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.15, 'e': 0.5549999999999996}",25,0,-7.102860343000302,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.15, 'e': 0.5499999999999996}",25,0,-52.559667001849505,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
91,False,"{'a': 0.15, 'e': 0.5449999999999996}",20,12,-19.643999857474093,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.15, 'e': 0.5399999999999996}",25,16,3.9276568175038595,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.15, 'e': 0.5349999999999996}",20,7,-13.054547668884773,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.15, 'e': 0.5299999999999996}",25,15,-75.03895130885464,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
95,False,"{'a': 0.15, 'e': 0.5249999999999996}",20,15,9.83444297185315,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.15, 'e': 0.5199999999999996}",25,12,-31.156619511935652,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 0}",1
97,False,"{'a': 0.15, 'e': 0.5149999999999996}",25,17,-7.8452140977595,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.15, 'e': 0.5099999999999996}",20,0,-91.57523950536708,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.15, 'e': 0.5049999999999996}",20,2,-0.9071382546925135,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.15, 'e': 0.49999999999999956}",20,12,-21.4973737573414,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.15, 'e': 0.49499999999999955}",20,0,-113.06945674038602,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.15, 'e': 0.48999999999999955}",25,13,20.290165513679582,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.15, 'e': 0.48499999999999954}",20,0,-99.88711258798456,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
104,False,"{'a': 0.15, 'e': 0.47999999999999954}",20,0,-37.58451235753609,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.15, 'e': 0.47499999999999953}",25,13,-26.826456275421812,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
106,False,"{'a': 0.15, 'e': 0.46999999999999953}",25,17,-20.051912263850014,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
107,False,"{'a': 0.15, 'e': 0.4649999999999995}",30,5,-11.316012393816345,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.15, 'e': 0.4599999999999995}",20,15,8.383449384102333,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.15, 'e': 0.4549999999999995}",20,10,-94.96074346354683,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 2}",1
110,False,"{'a': 0.15, 'e': 0.4499999999999995}",20,12,3.3695484345735593,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.15, 'e': 0.4449999999999995}",35,15,4.601638765766857,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.15, 'e': 0.4399999999999995}",30,13,-37.59183683975184,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.15, 'e': 0.4349999999999995}",20,0,-24.290976423970235,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
114,False,"{'a': 0.15, 'e': 0.4299999999999995}",20,2,-167.33942053145086,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 4}",1
115,False,"{'a': 0.15, 'e': 0.4249999999999995}",35,5,-23.47216535344932,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",1
116,False,"{'a': 0.15, 'e': 0.4199999999999995}",25,13,-10.349948069593385,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.15, 'e': 0.4149999999999995}",20,14,5.014301275885682,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.15, 'e': 0.4099999999999995}",25,12,-4.262940824435866,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.15, 'e': 0.40499999999999947}",25,5,10.761515325788825,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.15, 'e': 0.39999999999999947}",25,15,-86.6110453586124,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 2}",1
121,False,"{'a': 0.15, 'e': 0.39499999999999946}",20,10,9.13055435539819,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.15, 'e': 0.38999999999999946}",25,0,-89.11729961165128,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
123,False,"{'a': 0.15, 'e': 0.38499999999999945}",20,12,-4.873555799648286,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
